,Unnamed: 0,Unnamed: 0.1,hmid,wid,reflection_period,original_hm,modified,num_sentence,ground_truth_category,predicted_category,match,sentence
662,179032,85973,114114.0,907.0,24h,I was doing meditation in the morning. Meditation always makes my inner self  happy and relaxed.,True,2.0,,enjoy_the_moment,1.0,Meditation always makes my inner self  happy and relaxed.
806,50642,40940,68836.0,2578.0,3m,"Moving out to my new apartment on my own, alone.",True,1.0,,achievement,0.0,"Moving out to my new apartment on my own, alone."
113,10568,8382,36114.0,653.0,24h,"Watching the sun rise, getting a raise, putting a smile on someoneas face these are all examples of when a person may feel a happy. They are all diverse, just like the individualas in the world. Happiness is acquired through countless stimuli, whether they are material or emotional. One can not give a general definition for happiness, due to the fact that each person has their own perception of what happiness is. Happiness lies in the eye of the beholder, and as the beholder I see happiness as:Thus through this essay I will describe what happiness means to me, by discussing the above mentioned. I have found that through completing my aHappy Moments Journal,a that my family is a huge element of my happiness. Over half of the entries in my journal involved some interaction or thought of my family. A couple of examples include having Sunday lunch with my family. Everyone basically, comes together after church and we sit down and eat lunch together and then spend the rest of the day talking and just enjoying each others company. Also, going out with my sister and cousin on the weekends is always brings happiness into my life.",False,10.0,,affection,3.0,"One can not give a general definition for happiness, due to the fact that each person has their own perception of what happiness is."
172,190649,95953,124157.0,137.0,24h,I was able to help out a fellow bootblack who needed supplies this afternoon.,True,1.0,,achievement,0.0,I was able to help out a fellow bootblack who needed supplies this afternoon.
1210,165887,75118,103206.0,237.0,3m,My bike got a mileage problem.It was not fuel efficient for the past two months.I reached the service center but that didnt find a fault.I was really upset.After I told my brother about this issue he himself solved the problem in just two hours .I am glad that he did it.,True,1.0,,achievement,1.0,It was not fuel efficient for the past two months.
694,182008,88642,116802.0,1049.0,24h,I got to finish the rest of my sandwich from yesterday and some kiwi.,True,1.0,leisure,leisure,0.0,I got to finish the rest of my sandwich from yesterday and some kiwi.
41,193075,97920,126133.0,429.0,24h,"Finally bought a brand new 4gb GTX 1050 ti graphics card, so i'll be able to play my games with decent level of detail and framerates while I do wait for more jobs to arrive at the crowdsourcing sites I do work on.",False,1.0,,achievement,0.0,"Finally bought a brand new 4gb GTX 1050 ti graphics card, so i'll be able to play my games with decent level of detail and frame rates while I do wait for more jobs to arrive at the crowdsourcing sites I do work on."
1402,10484,8327,36058.0,1028.0,24h,"Drinking a ginger tea , thatas all there is , this week hasnat been very exciting or happy , in fact itas been rather tiring and stressful but itas fine , a cup of tea can fix anything.Talking and laughing with my friends and family makes me happy.I slept throughout the night hugging the man that makes my heart beats fast and giving me laughs.
",False,1.0,,affection,2.0,I slept throughout the night hugging the man that makes my heart beats fast and giving me laughs.
582,33556,27955,55782.0,12570.0,24h,"(This is regarding a new job, which I'm about two weeks into)
Yesterday, mid-day, I was supposed to have a phone meeting touching base on a project I was working on. I had sent the project thus far, the night prior. Thinking the individual I was supposed to be chatting with would glance over, and then give feedback when we had our call. Instead, the feedback was GLOWING! He praised me for really going above and beyond for [my] client. The call was not even necessary.",True,6.0,,achievement,0.0,"(This is regarding a new job, which I'm about two weeks into)
Yesterday, mid-day, I was supposed to have a phone meeting touching base on a project I was working on."
1315,2797,2371,30060.0,5013.0,24h,"a message from my new office that you are appointed,the message was made me so happy.",True,1.0,,enjoy_the_moment,0.0,"a message from my new office that you are appointed,the message was made me so happy."
755,186900,92717,120905.0,201.0,24h,"The Happiest moments in my life were, the births of both my children. To see my oldest graduate from high school, join the army graduate boot camp and complete air traffic control training and still achieving higher. My daughters accomplishments in high school. Making strives on making a decision of what college she wishes to attend. Achieving great grads in school currently. Both of my children growing to becoming responsible people in society. I may not have always been the best parent, but the best one I could be, as a single parent that took the responsibility on when my ex decided other things were more important. Thank you",True,8.0,affection,affection,5.0,Both of my children growing to becoming responsible people in society.
1343,147929,60129,88111.0,521.0,3m,"watching my kid swim in her lessons.  She's been considering herself a 'swimmer' for some time now, and her hard work is really paying off.",True,2.0,,affection,0.0,watching my kid swim in her lessons.
834,181748,88383,116543.0,243.0,24h,I found a yellow jacket nest that had been building and got rid of it which was a good relief.,True,1.0,,achievement,0.0,I found a yellow jacket nest that had been building and got rid of it which was a good relief.
1196,172424,80272,108380.0,65.0,3m,my happiest moment in my life is getting the U.S Visa...i  cant forget anyway that moment in my existence........thank you for giving this Opportunity,True,1.0,,achievement,0.0,my happiest moment in my life is getting the U.
1375,31672,26407,54224.0,1.0,24h,Today is my last day of work for the week and i got the following two days off.,True,1.0,,achievement,0.0,Today is my last day of work for the week and i got the following two days off.
512,28962,24034,51840.0,4791.0,24h,My daughters had good doctors appointment today.,True,1.0,,achievement,0.0,My daughters had good doctors appointment today.
804,16534,13138,40890.0,1735.0,24h,My boyfriend returned home from a month-long work trip.,True,1.0,,affection,0.0,My boyfriend returned home from a month-long work trip.
62,193145,97981,126194.0,11029.0,24h,My husband telling me he likes my new haircut.,True,1.0,,affection,0.0,My husband telling me he likes my new haircut.
1274,55530,44781,72698.0,418.0,3m,I watched a good episode of Better Call Saul and enjoyed it.,True,1.0,,leisure,0.0,I watched a good episode of Better Call Saul and enjoyed it.
101,132789,47861,75789.0,2066.0,3m,"I started working on my graduation thesis a few weeks ago. Haven't gone far just yet, but it's been seven years since I worked on it at all, so I feel like it's a good start and it motivates me to continue working on it. ",True,2.0,,achievement,0.0,I started working on my graduation thesis a few weeks ago.
226,41292,33895,61757.0,1098.0,3m,It was the day where i bought a new  car..it was my dream to  buy a  car... it was such a great feeling for me.. a long ride with my family and felt very happy . i have done a lot of  work  to achieve  this.. am very proud of what i have done.. my hard works deserves.. thanks god for blessing me . this make my day very happy.!!,True,4.0,,achievement,2.0, it was such a great feeling for me.
1343,147929,60129,88111.0,521.0,3m,"watching my kid swim in her lessons.  She's been considering herself a 'swimmer' for some time now, and her hard work is really paying off.",True,2.0,,affection,0.0,watching my kid swim in her lessons.
776,155757,66556,94582.0,7602.0,3m,An event that made me happy was when I got to see my long distance boyfriend after 2 years.,True,1.0,,affection,0.0,An event that made me happy was when I got to see my long distance boyfriend after 2 years.
785,172655,80468,108578.0,82.0,3m,I watched a little Minions video.,True,1.0,,leisure,0.0,I watched a little Minions video.
354,36120,30228,58069.0,280.0,24h," grew older, we continued to go for these walks with our parents but the dreams of living in the forest I soon forgot. Thatas when it happened. We decided to take a different path off the main trail. Before I knew it, the path had disappeared and no one in my family could tell where we had come from. It was so unexpected. It gave me a feeling of excitement that canat be described. Everything in the forest seemed different. The trees were a deeper shade of green. The birds chirped in a different tone. Vines covered almost every inch of the ground. One part of me never wanted this moment to end. I felt completely free from the stress of my life outside of the woods. It was this moment that I realized that I would much rather stay here for the rest of my life than go back to society.",True,13.0,,affection,6.0,Everything in the forest seemed different.
591,47911,38921,66813.0,5566.0,3m,"I hadn't seen nor spoken to my birth mother in fifteen years. The last time I had seen her, we were separated by glass and had to speak to each other via a corded phone. Recently, I finally decided it was time to face her again. Now, as an adult. As someone who can finally voice how she made me feel all those years back. She broke down in tears during our talk, but knowing that she is truly sorry for her wrongdoings... that is an indescribable feeling of happiness I had never before felt. ",True,6.0,,affection,6.0, that is an indescribable feeling of happiness I had never before felt.
1140,169475,77829,105928.0,1492.0,3m,Making a great dinner for myself last night.,True,1.0,,achievement,0.0,Making a great dinner for myself last night.
64,139489,53217,81160.0,540.0,3m,I went to the bar with some friends. We didn't get to drunk we just had a couple of drinks and went home and ate pizza.,True,2.0,,bonding,0.0,I went to the bar with some friends.
147,133628,48561,76493.0,7604.0,3m,I was very happy when I found out that my boss was quitting.  This meant that I was potentially going to get her job and a promotion.,True,2.0,achievement,achievement,0.0,I was very happy when I found out that my boss was quitting.
1381,56361,45409,73329.0,3.0,3m,". I attended the game with 4 of my friends plus roommates who were very close to me. We sat in the front row of the north gallery and we enjoyed the whole game. We shouted when our team did well, we showed our dismay when they performed badly. One of our friends took the national flag and he bore it during the game. We left the stadium in the evening and even though our team was defeated by the powerful Argentine team, we were happy that our team competed them well and performed quite good.",True,6.0,,bonding,4.0,"We left the stadium in the evening and even though our team was defeated by the powerful Argentine team, we were happy that our team competed them well and performed quite good."
241,1027,827,28500.0,2673.0,24h,"When I came home from work, my two little grandsons were playing in my front yard.",True,1.0,,affection,0.0,"When I came home from work, my two little grandsons were playing in my front yard."
1333,154635,65713,93732.0,222.0,3m,I WENT TO SHOPPING MALL.,True,1.0,leisure,leisure,0.0,I WENT TO SHOPPING MALL.
855,151121,62791,90789.0,11175.0,3m,My son has been sick and just went to the doctors and finally got some answers and that he is finally getting better.,True,1.0,,affection,0.0,My son has been sick and just went to the doctors and finally got some answers and that he is finally getting better.
1160,151652,63241,91240.0,3393.0,3m,"When the vending machine gave me two bags of Ruffles when I only bought one.
",True,1.0,,achievement,0.0,When the vending machine gave me two bags of Ruffles when I only bought one.
1173,31961,26667,54484.0,362.0,24h,"My sister bought a andriod cell phone. when she showed me that phone, i was surprised.",True,2.0,,affection,0.0,My sister bought a andriod cell phone.
439,144790,57618,85591.0,40.0,3m,"Last month my mom was given money to me for manage that day food expense, because that day she was went her friend daughter marriage. So that day she can't able cook so she gave me money for that day to eat foods. That day i didn't use that money to had any food for that day because that day my friend called me to his home for eat, So i had everything from his home. I saved that money. Finally i purchased special gift for my mom. She was very happy about that gift. She thanked me lot, I'm also very happy. That was great plan. Thank you.",True,9.0,,affection,8.0,Thank you.
584,190191,95638,123839.0,565.0,24h,Today one of my best friends; fiancee got a job.  He has been on the job hunt for over two years and up to this point was unsuccessful.  I am very excited for both of them. ,True,3.0,,achievement,1.0, He has been on the job hunt for over two years and up to this point was unsuccessful.
988,6566,5296,33011.0,479.0,24h,Finished cleaning the house.,True,1.0,,achievement,0.0,Finished cleaning the house.
916,192750,97637,125848.0,1523.0,24h,after dancing with her she asked my number so that she can call me ........i asked her why should i give you my number i don't know much about you ...how can i trust you...she smiled and said.....you know your facebook friend pinky...i said yes....she asked ..do you saw her any time are any were ...i said no...she replied that is me .....mr.lover boy...i was just like haaaaaaaaaaaa.......Doing something for others can be hugely motivating....i just helped her in filling online form.....i con't discribe my happines...that make me really happy,False,1.0,,affection,9.0,she replied that is me .
862,138898,52698,80639.0,2465.0,3m,I bought two burgers from Carl's Jr. for less than $8. This is really cheap (comparatively) to what they normally cost.,True,2.0,,achievement,0.0,I bought two burgers from Carl's Jr.
161,55850,45011,72931.0,4100.0,3m,Today my wife and daughter are visiting my wife's mother....giving me the day to myself.,True,1.0,,affection,1.0,giving me the day to myself.
867,174831,82279,110396.0,1312.0,24h,THE WORLD IS WIDE.WE MEET SO MANY PEOPLE SO MANY OCCASIONS.EACH ONE GETS SOME IMPORTANCE IN HIS OWN WAY.BUT CERTAIN PEOPLE WE ARE NOT ABLE TO FORGET .THEY ARE INDELIBLY BRANDED IN OUR INNER MOST HEARTS. THEY ARE THE MOST IMPORTANT.,True,2.0,,enjoy_the_moment,1.0,WE MEET SO MANY PEOPLE SO MANY OCCASIONS.
386,2783,2362,30051.0,376.0,24h,"I was asked to make a batch of brownies that everyone liked last time. I didn't have enough brown sugar as per the instructions, so I mixed together white sugar and eyeballed how much molasses I would need. They came out much better than the brown sugar ones last time, and I got more compliments on them. ",True,3.0,,achievement,1.0,"I didn't have enough brown sugar as per the instructions, so I mixed together white sugar and eyeballed how much molasses I would need."
116,194862,99370,127591.0,96.0,24h,my memorable day is my school days. i enjoy  a lot with my school friend 9 and 10 class ..we sitted in last bench. we don't no any about subject i always be failed in all exams. but last time in 10th i am passed .so surprise for me. so i finally passed.,True,5.0,,bonding,2.0,we sitted in last bench.
584,190191,95638,123839.0,565.0,24h,Today one of my best friends; fiancee got a job.  He has been on the job hunt for over two years and up to this point was unsuccessful.  I am very excited for both of them. ,True,3.0,,achievement,1.0, He has been on the job hunt for over two years and up to this point was unsuccessful.
929,186854,92685,120873.0,8687.0,24h,I beat a level in a game that I was stuck on.,True,1.0,achievement,achievement,0.0,I beat a level in a game that I was stuck on.
1365,12565,9831,37568.0,53.0,24h,"Happiness is a mental or emotional state of well-being defined by positive or pleasant emotions ranging from contentment to intense joy.[1] Happy mental states may also reflect judgements by a person about their overall well-being.[2] A variety of biological, psychological, economic, religious and philosophical approaches have striven to define happiness and identify its sources. Various research groups, including positive psychology and happiness economics are employing the scientific method to research questions about what ""happiness"" is, and how it might be attained.",True,4.0,,enjoy_the_moment,0.0,Happiness is a mental or emotional state of well-being defined by positive or pleasant emotions ranging from contentment to intense joy.
1444,5987,4859,32568.0,4024.0,24h,When my paycheck was large enough to pay all the bills I needed to pay.,True,1.0,,achievement,0.0,When my paycheck was large enough to pay all the bills I needed to pay.
295,23506,19081,46862.0,1298.0,24h,"I was trying a new chicken recipe yesterday and it came out really well, that I had to invite my friend over to taste it.",True,1.0,,bonding,0.0,"I was trying a new chicken recipe yesterday and it came out really well, that I had to invite my friend over to taste it."
1350,160874,70840,98901.0,235.0,3m,Two months ago my friend was financially need help from others because of his wife's medical expanses. I gave some money to him at the right time. After two days I was call and asked about his wife health and he said she is very fine so i was happy to be helped him in a right time.,True,3.0,,affection,1.0,I gave some money to him at the right time.
551,142425,55637,83594.0,956.0,3m,"I got a roommate for my new house. Now I won't have to live by myself, and can make extra money! I felt relieved to get a roommate.",True,3.0,,achievement,2.0,I felt relieved to get a roommate.
802,149974,61798,89790.0,455.0,3m,"I had heard many good things about Kerala from a lot of people and so when I decided to take a vacation with my family, Kerala turned out to be the perfect destination. Since everyone around me praised the place for itas beautiful scenery and the relaxation that it offered, I thought it would be an ideal destination for family bonding.
TravelTriangle was discovered via internet ad and I was attracted to their concept of connecting you with multiple travel agents for competitive quotes and itineraries. I chose Best Holidays India Pvt. Ltd. as my agent and was soon sorted when it came to booking a land package for my trip.
We reached Kochi at 2 PM and we were picked up from the Ernakulam railway station and taken to Munnar. On the way, we had our lunch and also saw a waterfall. We then went to the Elephant Park but, unfortunately, it was closed. So we checked into the hotel and relaxed for a while eventually retiring for the night.
We visited a number of places this day. First one was Rose garden and it was followed by a visit to the Mattupetty dam. Next was the Eravikulam National Park and the experience there was nice although we couldnat see any animals. The scenery and natural ambience there was amazing. Later, after coming back, we went for a massage and that was quite a relaxing experience.",True,14.0,,affection,14.0,"Later, after coming back, we went for a massage and that was quite a relaxing experience."
748,49003,39744,67637.0,2398.0,3m,Got approved for my first credit card.,True,1.0,,achievement,0.0,Got approved for my first credit card.
1402,10484,8327,36058.0,1028.0,24h,"Drinking a ginger tea , thatas all there is , this week hasnat been very exciting or happy , in fact itas been rather tiring and stressful but itas fine , a cup of tea can fix anything.Talking and laughing with my friends and family makes me happy.I slept throughout the night hugging the man that makes my heart beats fast and giving me laughs.
",False,1.0,,affection,2.0,I slept throughout the night hugging the man that makes my heart beats fast and giving me laughs.
590,193964,98716,126933.0,4454.0,24h,"Looking forward towards hanging out at my parents house.
I'm 25, but every few weeks my sister and I go over for dinner and a movie. My mom usually cooks a roast or something. Mom food.
Last time we watched Rogue One. I'll eat a burger, cuddle some dogs, chat with my dad and keep telling my mom that no, it's fine. I don't want your chair, I'm still the kid so I'll grab a pillow and sit on the floor. It's fine mom, you're tired, sit in your fucking chair and watch the damn movie.",True,8.0,affection,affection,1.0,"
I'm 25, but every few weeks my sister and I go over for dinner and a movie."
715,51639,41678,69575.0,1629.0,3m,"Talking to my mother on the phone a few weeks ago and realizing how much better she is feeling since winter is gone - shes does more things, is outdoors all the time and sounds happy and fulfilled.",True,1.0,,affection,0.0,"Talking to my mother on the phone a few weeks ago and realizing how much better she is feeling since winter is gone - shes does more things, is outdoors all the time and sounds happy and fulfilled."
1167,165871,75114,103202.0,40.0,3m,"Two months before i went shopping mall for purchase home need things. That day suddenly i saw my school friend kevin, we spoke lot and discussed about school days memories. Finally we started the purchase, i have added many of things in my cart and he also added in his cart, finally we have waited in bill counter queue, That time my friend asked me ""i will pay the bill"". But i said hey no. I will pay my bill, you will pay my bill, my friend doesn't agreed!. He compels me. Finally he pays my bill. I was happy because i saved money, so this saved money will help me do help to poor peoples food and education. That's great idea. I was very happy for saved money. Thank you so much kevin.",True,11.0,,bonding,7.0,"I was happy because i saved money, so this saved money will help me do help to poor peoples food and education."
1262,137633,51657,79595.0,677.0,3m,Teaching my daughter how to drive.,True,1.0,,affection,0.0,Teaching my daughter how to drive.
778,192874,97747,125959.0,532.0,24h,I did the math and found my current income is well over what I needed for my current goals. ,True,1.0,,achievement,0.0,I did the math and found my current income is well over what I needed for my current goals.
1329,4962,4059,31758.0,464.0,24h,"Last Sunday I was approached by three different women on my way home from hanging out with friends. This was a first for me, let a lone it happen three consecutive times in a row. It was super flattering and made me feel good about myself.",True,3.0,,bonding,0.0,Last Sunday I was approached by three different women on my way home from hanging out with friends.
582,33556,27955,55782.0,12570.0,24h,"(This is regarding a new job, which I'm about two weeks into)
Yesterday, mid-day, I was supposed to have a phone meeting touching base on a project I was working on. I had sent the project thus far, the night prior. Thinking the individual I was supposed to be chatting with would glance over, and then give feedback when we had our call. Instead, the feedback was GLOWING! He praised me for really going above and beyond for [my] client. The call was not even necessary.",True,6.0,,achievement,0.0,"(This is regarding a new job, which I'm about two weeks into)
Yesterday, mid-day, I was supposed to have a phone meeting touching base on a project I was working on."
948,195030,99483,127704.0,4305.0,24h,An event that made me happy is my lyrics as be selected for a movie. When my lyrics is played on the big screen it brings me proud movement. The Director and the Hero said if this lyrics is played on the big screen the fans will definitely happy. And this was my happiest event in my life.   ,True,4.0,achievement,achievement,1.0,When my lyrics is played on the big screen it brings me proud movement.
496,168944,77471,105570.0,1240.0,3m,When I have all the time in the world in the shower. It feels so fulfulling and relaxing especially in this heat.,True,2.0,,enjoy_the_moment,1.0,It feels so fulfulling and relaxing especially in this heat.
1338,149409,61298,89285.0,1354.0,3m,I watched baseball with my dad.,True,1.0,,affection,0.0,I watched baseball with my dad.
1302,163972,73453,101532.0,4255.0,3m,Getting good news that my father's cancer treatment is working well brought great joy and hope to me.,True,1.0,,affection,0.0,Getting good news that my father's cancer treatment is working well brought great joy and hope to me.
234,165034,74369,102453.0,1056.0,3m,Talking about record collecting with a coworker who recently got into it with her husband. It's great to have common interests and it's a fun hobby.,True,2.0,,bonding,0.0,Talking about record collecting with a coworker who recently got into it with her husband.
1408,55862,45018,72938.0,829.0,3m,"I scheduled a doctors appointment, that I have been putting off for a year.",True,1.0,,achievement,0.0,"I scheduled a doctors appointment, that I have been putting off for a year."
760,140275,53872,81819.0,3211.0,3m,I was able to stick to my budget for a record number of weeks. It makes me happy to see positive changes in my financial habits.,True,2.0,,achievement,0.0,I was able to stick to my budget for a record number of weeks.
1356,190237,95680,123881.0,647.0,24h,I ordered a banner for my home business and it arrived today. It turned out well! ,True,2.0,,achievement,0.0,I ordered a banner for my home business and it arrived today.
1398,142091,55325,83280.0,1270.0,3m,I got good news about a new job I started.,True,1.0,,achievement,0.0,I got good news about a new job I started.
252,139118,52888,80829.0,2321.0,3m,I went to see the Guardians of Galaxy with my nephew. He loved it as well as I. It was a feel good movie. When you leave the theater you will feel up. No need to take drugs because this movie is a upper!,True,5.0,,leisure,0.0,I went to see the Guardians of Galaxy with my nephew.
648,1799,1532,29211.0,2553.0,24h,My dog behaved when confronted by another dog on our daily walk.,True,1.0,,affection,0.0,My dog behaved when confronted by another dog on our daily walk.
1221,25077,20485,48271.0,12874.0,24h,My cat chased a fly around the house for quite some time. He was very excited and made cute chirps the entire time.,True,2.0,,affection,0.0,My cat chased a fly around the house for quite some time.
1139,2470,2170,29858.0,10726.0,24h,"Last month, I got selection in a Government Examination.That moment of joy I cannot really express.....",True,1.0,,achievement,1.0,That moment of joy I cannot really express.
944,40772,33448,61305.0,357.0,3m,I bought a new car.,True,1.0,,achievement,0.0,I bought a new car.
25,35432,29601,57440.0,3636.0,24h,My boss gave next week off for a job well done.,True,1.0,,achievement,0.0,My boss gave next week off for a job well done.
407,173576,81240,109351.0,1030.0,24h,"THE MOST HAPPIEST MOMENT I STILL RECKON WHEN I CAME BACK FROM THE FIRST DAY OF MY SCHOOL, I WAS SO EXCITED AND HAPPY TO ATTEND MY CLASSES AND MEET WITH NEW FRIENDS.  WHEN I RETURN BACK TO MY HOME.  I SAW MY DAD WERE WAITING FOR ME WITH A GLASS OF JUICE AND THAT MOMENT MADE ME FEEL SO SPECIAL SO I ENJOYED A LOT AND FELT THE MOST HAPPIEST MOMENT OF MY LIFE.",True,3.0,enjoy_the_moment,enjoy_the_moment,2.0, I SAW MY DAD WERE WAITING FOR ME WITH A GLASS OF JUICE AND THAT MOMENT MADE ME FEEL SO SPECIAL SO I ENJOYED A LOT AND FELT THE MOST HAPPIEST MOMENT OF MY LIFE.
603,187419,93188,121381.0,20.0,24h,"I saw that Fox News has yet another scandal, that made me happy.",True,1.0,,achievement,0.0,"I saw that Fox News has yet another scandal, that made me happy."
1403,143299,56352,84314.0,733.0,3m,"The house we are moving into is being remodeled little by little, my husband is doing it himself. All his hard work makes me happy and hopeful for the future!",True,2.0,,affection,0.0,"The house we are moving into is being remodeled little by little, my husband is doing it himself."
1017,143919,56910,84876.0,1631.0,3m,I got to relax outside at a waterfront bar for a few hours and discuss important issues with my roommate.,True,1.0,leisure,leisure,0.0,I got to relax outside at a waterfront bar for a few hours and discuss important issues with my roommate.
676,194773,99295,127515.0,7843.0,24h,I got a free drink at a bar.,True,1.0,,enjoy_the_moment,0.0,I got a free drink at a bar.
29,35283,29470,57309.0,211.0,24h,My package came in the mail.,True,1.0,,enjoy_the_moment,0.0,My package came in the mail.
1329,4962,4059,31758.0,464.0,24h,"Last Sunday I was approached by three different women on my way home from hanging out with friends. This was a first for me, let a lone it happen three consecutive times in a row. It was super flattering and made me feel good about myself.",True,3.0,,bonding,0.0,Last Sunday I was approached by three different women on my way home from hanging out with friends.
39,56813,45767,73689.0,849.0,3m,"My uncle in chennai. When I received a call from my uncle, I really happy to speak to them. Their children,s spoke me with their baby voice Its very nice to hear on that time.",True,3.0,,affection,2.0,"Their children,s spoke me with their baby voice Its very nice to hear on that time."
408,164235,73684,101763.0,832.0,3m,"I was able to lose 5 lb over the course of 3 months. I suffered not eating potato chips during lunch for three month. Despite that, I am still happy that I made some progress with my weight. ",True,3.0,,achievement,1.0,I suffered not eating potato chips during lunch for three month.
1089,28554,23654,51454.0,335.0,24h,I WAS GOING FOR MY BIRTHDAY FUNCTION IN YESTERDAY.,True,1.0,,enjoy_the_moment,0.0,I WAS GOING FOR MY BIRTHDAY FUNCTION IN YESTERDAY.
1323,30322,25199,53009.0,1246.0,24h,Ate healthy the whole day.,True,1.0,,enjoy_the_moment,0.0,Ate healthy the whole day.
1090,734,562,28235.0,786.0,24h,I colored in my adult coloring book while watching Netflix. It was relaxing and enjoyable.,True,2.0,,leisure,0.0,I colored in my adult coloring book while watching Netflix.
1195,178984,85942,114083.0,1329.0,24h,"I listen to spotify when I'm at work, and after I complete an album of something I know I love, spotify selects my next group of songs.  Usually they are terrible.  Today, the following 2 songs were great and led me to discover a new band!",True,3.0,,enjoy_the_moment,2.0," Today, the following 2 songs were great and led me to discover a new band!"
170,169648,77966,106066.0,550.0,3m,I bought myself a really pretty new scarf.,True,1.0,achievement,achievement,0.0,I bought myself a really pretty new scarf.
108,132169,47461,75387.0,2308.0,3m,I love anytime I get to work at the school. I get to see lots of kids I know from doing summer camps. They always make me feel happy and feel loved.,True,3.0,,affection,1.0,I get to see lots of kids I know from doing summer camps.
1091,3905,3215,30909.0,1572.0,24h,"my marriage , when i got married with my girl friend. that time i was very happy and lucky . my life partner was my girl friend. ",True,3.0,,bonding,1.0,that time i was very happy and lucky .
1463,161552,71440,99507.0,1737.0,3m,"SEASON TWO OF MASTER OF NONE CAME OUT! It was so good and I watched all of the episodes. I was happy because the show produced so many good, heartfelt episodes.",True,3.0,,leisure,1.0,It was so good and I watched all of the episodes.
1184,9569,7579,35307.0,1929.0,24h,I went to a new italian restaurant that recently opened.  It was surprisingly good.  The wine was great.  The food for authentic and excellent.,True,4.0,,enjoy_the_moment,0.0,I went to a new italian restaurant that recently opened.
1451,125,102,27775.0,251.0,24h,I came to my office at right time.,True,1.0,,achievement,0.0,I came to my office at right time.
